ID;OrderDate;CustomerID;RestaurantID;Price
0;2019-06-01T01:35:12.797020;0;1;28
1;2019-06-01T02:07:51.699028;0;0;11
2;2019-06-01T03:05:11.580693;3;1;10
3;2019-06-01T03:19:39.168800;1;0;11
4;2019-06-01T03:32:50.407013;1;1;19
5;2019-06-01T04:23:04.250277;0;0;24
6;2019-06-01T04:30:52.692461;10;1;27
7;2019-06-01T04:49:51.885413;10;0;17
8;2019-06-01T05:02:24.442934;3;1;24
9;2019-06-01T05:27:31.643062;0;1;25
10;2019-06-01T05:54:57.687172;10;1;17
11;2019-06-01T06:43:05.404676;10;1;18
12;2019-06-01T07:05:31.853380;15;1;13
13;2019-06-01T07:48:27.504855;1;0;19
14;2019-06-01T08:16:49.380664;16;1;14
15;2019-06-01T08:27:14.581068;17;0;9
16;2019-06-01T09:02:42.930904;3;1;26
17;2019-06-01T09:23:34.165334;21;1;24
18;2019-06-01T10:43:19.582007;7;1;30
19;2019-06-01T10:48:55.005118;26;0;17
20;2019-06-01T10:59:14.372241;24;1;27
21;2019-06-01T12:36:08.489111;30;1;23
22;2019-06-01T12:57:13.645655;21;0;23
23;2019-06-01T13:16:36.624816;29;1;22
24;2019-06-01T13:18:31.876906;16;1;22
25;2019-06-01T13:19:24.353248;0;0;26
26;2019-06-01T13:31:33.263131;33;0;16
27;2019-06-01T13:49:35.203397;22;0;30
28;2019-06-01T17:13:57.917279;29;0;22
29;2019-06-01T18:44:04.715401;47;1;11
30;2019-06-01T20:48:45.137597;35;0;12
31;2019-06-01T22:15:02.159307;58;0;29
32;2019-06-01T22:23:21.215071;49;0;16
33;2019-06-01T23:26:26.264383;40;1;22
34;2019-06-02T00:18:04.524045;32;1;22
35;2019-06-02T01:01:05.340424;0;0;13
36;2019-06-02T01:36:42.915003;16;2;8
37;2019-06-02T02:07:50.995206;19;1;19
38;2019-06-02T02:29:30.278262;71;1;9
39;2019-06-02T02:55:13.338804;20;1;12
40;2019-06-02T03:08:25.203286;19;2;21
41;2019-06-02T04:09:17.105709;49;0;18
42;2019-06-02T04:30:41.514001;11;3;30
43;2019-06-02T04:43:26.932983;11;3;15
44;2019-06-02T05:08:39.873855;16;1;16
45;2019-06-02T05:12:35.916848;26;0;21
46;2019-06-02T05:18:47.190614;8;1;25
47;2019-06-02T05:22:39.888220;36;3;17
48;2019-06-02T05:54:17.987996;84;1;23
49;2019-06-02T06:18:48.197507;54;3;10
50;2019-06-02T06:26:58.766972;25;3;23
51;2019-06-02T06:59:25.447160;32;1;27
52;2019-06-02T07:16:45.330791;52;1;17
53;2019-06-02T07:16:58.962820;65;2;30
54;2019-06-02T07:18:05.692046;45;0;27
55;2019-06-02T07:59:56.552506;71;1;26
56;2019-06-02T08:20:10.810356;63;2;21
57;2019-06-02T08:23:47.497422;50;0;13
58;2019-06-02T08:55:52.337864;85;1;24
59;2019-06-02T09:00:25.076544;34;4;29
60;2019-06-02T09:27:50.411970;60;4;23
61;2019-06-02T09:32:54.529120;10;2;13
62;2019-06-02T10:13:43.744187;10;2;25
63;2019-06-02T10:55:12.877540;51;3;8
64;2019-06-02T10:57:54.558867;56;1;22
65;2019-06-02T11:12:33.298705;36;3;10
66;2019-06-02T11:39:03.189788;38;2;25
67;2019-06-02T11:39:03.423270;84;0;24
68;2019-06-02T11:45:53.757117;39;3;28
69;2019-06-02T11:57:58.390081;61;4;18
70;2019-06-02T12:11:32.680820;94;4;18
71;2019-06-02T12:37:42.093525;96;3;30
72;2019-06-02T12:37:48.246281;91;1;26
73;2019-06-02T12:46:36.230496;25;4;12
74;2019-06-02T13:05:26.623140;14;3;25
75;2019-06-02T14:00:50.580299;72;4;24
76;2019-06-02T14:10:46.944093;60;4;15
77;2019-06-02T14:13:45.224402;24;0;25
78;2019-06-02T14:13:45.858863;23;0;17
79;2019-06-02T14:14:43.572714;37;4;13
80;2019-06-02T14:20:52.181807;64;1;17
81;2019-06-02T14:30:49.655561;26;2;20
82;2019-06-02T14:49:43.120410;37;4;21
83;2019-06-02T15:19:26.766566;93;3;23
84;2019-06-02T15:40:43.976147;76;1;8
85;2019-06-02T15:52:36.757086;75;4;9
86;2019-06-02T15:59:31.900377;88;3;17
87;2019-06-02T16:01:46.012027;106;4;8
88;2019-06-02T16:08:51.920482;40;0;23
89;2019-06-02T16:42:00.420018;109;4;30
